Codice Nazionale;Sigla Provincia;Denominazione Italiana;Denominazione Estera;Codice Catastale;Ufficio Catasto Terreni;Ufficio Catasto Fabbricati;Codice Conservatoria;Codice Istat;Data Costituzione;Attesa VCT Territorio;Attesa VCT Fabbricati
I002;BN;SAN MARTINO SANNITA;;Q3CX;BN;BN;BN00;062065;;;
I003;VR;SAN MARTINO BUON ALBERGO;;D6DS;VR;VR;VR00;023073;;;
I005;MN;SAN MARTINO DALL'ARGINE;;C6CL;MN;MN;MN00;020059;;;
I007;CR;SAN MARTINO DEL LAGO;;C5HW;CR;CR;CR00;019091;;;
I008;PD;SAN MARTINO DI LUPARI;;D3DB;PD;PD;VI10;028077;;;
I011;RE;SAN MARTINO IN RIO;;H8BM;RE;RE;RE00;035037;;;
I012;LO;SAN MARTINO IN STRADA;;C1QB;LO;LO;LO00;098048;;;
I014;PV;SAN MARTINO SICCOMARIO;;C7HY;PV;PV;PV10;018137;;;
I016;AV;SAN MARTINO VALLE CAUDINA;;Q2DQ;AV;AV;AV00;064083;;;
I017;AT;SAN MARZANO OLIVETO;;A3EB;AT;AT;AT00;005100;;;
I018;TA;SAN MARZANO DI SAN GIUSEPPE;;R5BA;TA;TA;TA00;073025;;;
I019;SA;SAN MARZANO SUL SARNO;;Q5FF;SA;SA;SA00;065122;;;
I023;CB;SAN MASSIMO;;P1DJ;CB;CB;CB00;070070;;;
I024;TO;SAN MAURIZIO CANAVESE;;A1MF;TO;TO;TO20;001248;;;
I025;NO;SAN MAURIZIO D'OPAGLIO;;A5JQ;NO;NO;NO00;003133;;;
I026;KR;SAN MAURO MARCHESATO;;T2EN;KR;KR;KR00;101020;;;
I027;FC;SAN MAURO PASCOLI;;H3BT;FO;FO;FO00;040041;;;
I028;PA;SAN MAURO CASTELVERDE;;U1CP;PA;PA;PA00;082065;;;
I029;MT;SAN MAURO FORTE;;S2BB;MT;MT;MT00;077026;;;
I030;TO;SAN MAURO TORINESE;;A1MG;TO;TO;TO20;001249;;;
I031;SA;SAN MAURO CILENTO;;Q5FG;SA;SA;SA00;065123;;;
I032;SA;SAN MAURO LA BRUCA;;Q5FH;SA;SA;SA00;065124;;;
I034;AV;SAN MICHELE DI SERINO;;Q2DR;AV;AV;AV00;064084;;;
I035;CT;SAN MICHELE DI GANZARIA;;U4BW;CT;CT;CT00;087043;;;
I037;CN;SAN MICHELE MONDOVI';;A4IZ;CN;CN;CN20;004210;;;
I040;VE;SAN MICHELE AL TAGLIAMENTO;;D1BS;VE;VE;VE00;027034;;;
I042;TN;SAN MICHELE ALL'ADIGE;;E1MJ;;;;022167;;;
I045;BR;SAN MICHELE SALENTINO;;R2AN;BR;BR;BR00;074014;;;
I046;PI;SAN MINIATO;;I7BL;PI;PI;LI00;050032;;;
I047;VI;SAN NAZARIO;;D7DZ;VI;VI;VI10;024093;;;
I048;PV;SANNAZZARO DE' BURGONDI;;C7HZ;PV;PV;PV10;018138;;;
I049;BN;SAN NAZZARO;;Q3CY;BN;BN;BN00;062066;;;
I051;CO;SAN NAZZARO VAL CAVARGNA;;C4PU;CO;CO;CO00;013207;;;
I052;NO;SAN NAZZARO SESIA;;A5JR;NO;NO;NO00;003134;;;
I053;BA;SANNICANDRO DI BARI;;R1BU;BA;BA;BA00;072040;;;
I054;FG;SAN NICANDRO GARGANICO;;R3BZ;FG;FG;FG10;071049;;;
I056;CE;SAN NICOLA LA STRADA;;Q4DV;CE;CE;CE00;061078;;;
I057;KR;SAN NICOLA DELL'ALTO;;T2EP;KR;KR;KR00;101021;;;
I058;VV;SAN NICOLA DA CRISSA;;T2EQ;VV;VV;VV00;102035;;;
I059;LE;SANNICOLA;;R4CW;LE;LE;LE00;075070;;;
I060;CS;SAN NICOLA ARCELLA;;T3FG;CS;CS;CS00;078125;;;
I061;AV;SAN NICOLA BARONIA;;Q2DS;AV;AV;AV00;064085;;;
I062;BN;SAN NICOLA MANFREDI;;Q3CZ;BN;BN;BN00;062067;;;
I063;BL;SAN NICOLO' DI COMELICO;;D2BW;BL;BL;BL00;025046;;;
I065;BZ;SAN PANCRAZIO;SANKT PANKRAZ;E2GP;;;;021084;;;
I066;BR;SAN PANCRAZIO SALENTINO;;R2AP;BR;BR;BR00;074015;;;
I071;AN;SAN PAOLO DI JESI;;K1BU;AN;AN;AN00;042042;;;
I072;FG;SAN PAOLO DI CIVITATE;;R3CA;FG;FG;FG10;071050;;;
I073;NA;SAN PAOLO BEL SITO;;Q1DE;NA;NA;CE00;063069;;;
I076;AT;SAN PAOLO SOLBRITO;;A3ED;AT;AT;AT00;005101;;;
I079;BG;SAN PELLEGRINO TERME;;C2KL;BG;BG;BG00;016190;;;
I082;GO;SAN PIER D'ISONZO;;F3EC;GO;GO;;031021;;;
I084;ME;SAN PIER NICETO;;U6DL;ME;ME;ME00;083080;;;
I086;ME;SAN PIERO PATTI;;U6DM;ME;ME;ME00;083081;;;
I088;BL;SAN PIETRO DI CADORE;;D2BX;BL;BL;BL00;025047;;;
I089;SA;SAN PIETRO AL TANAGRO;;Q5FI;SA;SA;SA00;065125;;;
I090;TO;SAN PIETRO VAL LEMINA;;A1MH;TO;TO;TO50;001250;;;
I092;UD;SAN PIETRO AL NATISONE;;F6FN;UD;UD;UD00;030103;;;
I093;CZ;SAN PIETRO A MAIDA;;T2ER;CZ;CZ;CZ00;079114;;;
I095;CZ;SAN PIETRO APOSTOLO;;T2ES;CZ;CZ;CZ00;079115;;;
I096;IS;SAN PIETRO AVELLANA;;P2BS;IS;IS;IS00;094043;;;
I098;CT;SAN PIETRO CLARENZA;;U4BX;CT;CT;CT00;087044;;;
I102;RC;SAN PIETRO DI CARIDA';;T1DT;RC;RC;RC00;080075;;;
I103;TV;SAN PIETRO DI FELETTO;;D5DF;TV;TV;TV00;026073;;;
I105;VR;SAN PIETRO DI MORUBIO;;D6DV;VR;VR;VR00;023075;;;
I107;PD;SAN PIETRO IN GU;;D3DD;PD;PD;VI00;028078;;;
I108;CS;SAN PIETRO IN AMANTEA;;T3FH;CS;CS;CS00;078126;;;
I109;VR;SAN PIETRO IN CARIANO;;D6DW;VR;VR;VR00;023076;;;
I110;BO;SAN PIETRO IN CASALE;;H1CI;BO;BO;BO00;037055;;;
I113;CE;SAN PIETRO INFINE;;Q4DX;CE;CE;CE00;061079;;;
I114;CS;SAN PIETRO IN GUARANO;;T3FI;CS;CS;CS00;078127;;;
I115;LE;SAN PIETRO IN LAMA;;R4CY;LE;LE;LE00;075071;;;
I116;NO;SAN PIETRO MOSEZZO;;A5JT;NO;NO;NO00;003135;;;
I117;VI;SAN PIETRO MUSSOLINO;;D7EA;VI;VI;VI00;024094;;;
I118;CA;VILLA SAN PIETRO;;V1FC;CA;CA;CA00;092099;;;
I119;BR;SAN PIETRO VERNOTICO;;R2AQ;BR;BR;BR00;074016;;;
I120;PD;SAN PIETRO VIMINARIO;;D3DE;PD;PD;PD10;028079;;;
I121;AQ;SAN PIO DELLE CAMERE;;N1DV;AQ;AQ;AQ00;066088;;;
I122;CB;SAN POLO MATESE;;P1DK;CB;CB;CB00;070071;;;
I123;RE;SAN POLO D'ENZA;;H8BN;RE;RE;RE00;035038;;;
I124;TV;SAN POLO DI PIAVE;;D5DG;TV;TV;TV00;026074;;;
I125;RM;SAN POLO DEI CAVALIERI;;M1EU;RM;RM;RM20;058096;;;
I126;TO;SAN PONSO;;A1MI;TO;TO;TO40;001251;;;
I128;MO;SAN POSSIDONIO;;H4BN;MO;MO;MO00;036038;;;
I129;AV;SAN POTITO ULTRA;;Q2DU;AV;AV;AV00;064086;;;
I130;CE;SAN POTITO SANNITICO;;Q4DY;CE;CE;CE00;061080;;;
I131;CE;SAN PRISCO;;Q4DZ;CE;CE;CE00;061081;;;
I132;RC;SAN PROCOPIO;;T1DU;RC;RC;RC00;080076;;;
I133;MO;SAN PROSPERO;;H4BP;MO;MO;MO00;036039;;;
I135;SI;SAN QUIRICO D'ORCIA;;I9BJ;SI;SI;SI10;052030;;;
I136;PN;SAN QUIRINO;;F5BP;PN;PN;PN00;093040;;;
I137;TO;SAN RAFFAELE CIMENA;;A1MJ;TO;TO;TO20;001252;;;
I138;IM;SANREMO;;G2DM;IM;IM;IM10;008055;;;
I139;RC;SAN ROBERTO;;T1DV;RC;RC;RC00;080077;;;
I140;LO;SAN ROCCO AL PORTO;;C1QH;LO;LO;LO00;098049;;;
I142;LU;SAN ROMANO IN GARFAGNANA;;I5BB;LU;LU;LU00;046027;;;
I143;SA;SAN RUFO;;Q5FJ;SA;SA;SA00;065126;;;
I144;AL;SAN SALVATORE MONFERRATO;;A2IS;AL;AL;AL00;006154;;;
I145;BN;SAN SALVATORE TELESINO;;Q3DA;BN;BN;BN00;062068;;;
I147;ME;SAN SALVATORE DI FITALIA;;U6DN;ME;ME;ME00;083082;;;
I148;CH;SAN SALVO;;N2DL;CH;CH;CH00;069083;;;
I150;AL;SAN SEBASTIANO CURONE;;A2IT;AL;AL;AL40;006155;;;
I151;NA;SAN SEBASTIANO AL VESUVIO;;Q1DH;NA;NA;NA20;063070;;;
I152;TO;SAN SEBASTIANO DA PO;;A1MK;TO;TO;TO20;001253;;;
I153;PR;SAN SECONDO PARMENSE;;H5BS;PR;PR;PR00;034033;;;
I154;TO;SAN SECONDO DI PINEROLO;;A1ML;TO;TO;TO50;001254;;;
I155;AR;SANSEPOLCRO;;I2BM;AR;AR;AR00;051034;;;
I156;MC;SAN SEVERINO MARCHE;;K3BX;MC;MC;MC00;043047;;;
I157;PZ;SAN SEVERINO LUCANO;;S1DJ;PZ;PZ;PZ00;076078;;;
I158;FG;SAN SEVERO;;R3CB;FG;FG;FG00;071051;;;
I162;CO;SAN SIRO;;C4SN;CO;CO;CO00;013248;;;
I163;AV;SAN SOSSIO BARONIA;;Q2DV;AV;AV;AV00;064087;;;
I164;CZ;SAN SOSTENE;;T2ET;CZ;CZ;CZ00;079116;;;
I165;CS;SAN SOSTI;;T3FJ;CS;CS;CS00;078128;;;
I166;SU;SAN SPERATE;;V1FD;CA;CA;CA00;111065;;;
I168;BG;SANTA BRIGIDA;;C2KN;BG;BG;BG00;016191;;;
I169;CL;SANTA CATERINA VILLARMOSA;;U3AS;CL;CL;CL00;085017;;;
I170;CZ;SANTA CATERINA DELLO IONIO;;T2EU;CZ;CZ;CZ00;079117;;;
I171;CS;SANTA CATERINA ALBANESE;;T3FK;CS;CS;CS00;078129;;;
I172;LE;SANTA CESAREA TERME;;R4CZ;LE;LE;LE00;075072;;;
I173;BZ;SANTA CRISTINA VALGARDENA;SANKTA CHRISTINA IN GROEDEN;E2GS;;;;021085;;;
I174;PA;SANTA CRISTINA GELA;;U1CQ;PA;PA;PA00;082066;;;
I175;PV;SANTA CRISTINA E BISSONE;;C7IC;PV;PV;PV00;018139;;;
I176;RC;SANTA CRISTINA D'ASPROMONTE;;T1DW;RC;RC;RC00;080078;;;
I177;PI;SANTA CROCE SULL'ARNO;;I7BM;PI;PI;PI00;050033;;;
I178;RG;SANTA CROCE CAMERINA;;U7AK;RG;RG;RG00;088010;;;
I179;BN;SANTA CROCE DEL SANNIO;;Q3DB;BN;BN;BN00;062069;;;
I181;CB;SANTA CROCE DI MAGLIANO;;P1DL;CB;CB;CB00;070072;;;
I182;SU;SANTADI;;V1FE;CA;CA;CA00;111068;;;
I183;CS;SANTA DOMENICA TALAO;;T3FL;CS;CS;CS00;078130;;;
I184;ME;SANTA DOMENICA VITTORIA;;U6DP;ME;ME;ME00;083083;;;
I185;AG;SANTA ELISABETTA;;U2BL;AG;AG;AG00;084037;;;
I187;GR;SANTA FIORA;;I3AX;GR;GR;GR00;053022;;;
I188;PA;SANTA FLAVIA;;U1CR;PA;PA;PA00;082067;;;
I189;IS;SANT'AGAPITO;;P2BT;IS;IS;IS00;094044;;;
I190;AL;SANT'AGATA FOSSILI;;A2IU;AL;AL;AL40;006156;;;
I191;BO;SANT'AGATA BOLOGNESE;;H1CJ;BO;BO;BO00;037056;;;
I192;CS;SANT'AGATA DI ESARO;;T3FM;CS;CS;CS00;078131;;;
I193;FG;SANT'AGATA DI PUGLIA;;R3CC;FG;FG;FG00;071052;;;
I196;RA;SANT'AGATA SUL SANTERNO;;H7AS;RA;RA;RA00;039017;;;
I197;BN;SANT'AGATA DE' GOTI;;Q3DC;BN;BN;BN00;062070;;;
I198;RC;SANT'AGATA DEL BIANCO;;T1DX;RC;RC;RC00;080079;;;
I199;ME;SANT'AGATA DI MILITELLO;;U6DQ;ME;ME;ME00;083084;;;
I201;RN;SANT'AGATA FELTRIA;;K4CY;RN;RN;PS10;099026;;;
I202;CT;SANT'AGATA LI BATTIATI;;U4BY;CT;CT;CT00;087045;;;
I203;PV;SANTA GIULETTA;;C7ID;PV;PV;PV20;018140;;;
I205;OR;SANTA GIUSTA;;V4BW;OR;OR;OR00;095047;;;
I206;BL;SANTA GIUSTINA;;D2BY;BL;BL;BL00;025048;;;
I207;PD;SANTA GIUSTINA IN COLLE;;D3DF;PD;PD;PD00;028080;;;
I208;NA;SANT'AGNELLO;;Q1DI;NA;NA;NA20;063071;;;
I210;CN;SANT'ALBANO STURA;;A4JC;CN;CN;CN20;004211;;;
I213;PV;SANT'ALESSIO CON VIALONE;;C7IF;PV;PV;PV00;018141;;;
I214;RC;SANT'ALESSIO IN ASPROMONTE;;T1DY;RC;RC;RC00;080080;;;
I215;ME;SANT'ALESSIO SICULO;;U6DR;ME;ME;ME00;083085;;;
I216;CT;SANT'ALFIO;;U4BZ;CT;CT;CT00;087046;;;
I217;PI;SANTA LUCE;;I7BN;PI;PI;LI00;050034;;;
I219;AV;SANTA LUCIA DI SERINO;;Q2DX;AV;AV;AV00;064088;;;
I220;ME;SANTA LUCIA DEL MELA;;U6DS;ME;ME;ME00;083086;;;
I221;TV;SANTA LUCIA DI PIAVE;;D5DH;TV;TV;TV00;026075;;;
I224;AG;SANTA MARGHERITA DI BELICE;;U2BM;AG;AG;AG00;084038;;;
I225;GE;SANTA MARGHERITA LIGURE;;G1DZ;GE;GE;GE10;010054;;;
I230;PV;SANTA MARGHERITA DI STAFFORA;;C7II;PV;PV;PV20;018142;;;
I232;PI;SANTA MARIA A MONTE;;I7BQ;PI;PI;PI00;050035;;;
I233;CE;SANTA MARIA A VICO;;Q4EA;CE;CE;CE00;061082;;;
I234;CE;SANTA MARIA CAPUA VETERE;;Q4EB;CE;CE;CE00;061083;;;
I236;PV;TRAVACO' SICCOMARIO;;C7IJ;PV;PV;PV10;018162;;;
I237;PV;SANTA MARIA DELLA VERSA;;C7IK;PV;PV;PV20;018143;;;
I238;IS;SANTA MARIA DEL MOLISE;;P2BU;IS;IS;IS00;094045;;;
I240;CT;SANTA MARIA DI LICODIA;;U4CA;CT;CT;CT00;087047;;;
I242;VE;SANTA MARIA DI SALA;;D1BT;VE;VE;PD00;027035;;;
I243;LC;SANTA MARIA HOE';;C4PY;LC;LC;LC00;097074;;;
I244;CH;SANTA MARIA IMBARO;;N2DN;CH;CH;CH00;069084;;;
I247;CE;SANTA MARIA LA FOSSA;;Q4EC;CE;CE;CE00;061084;;;
I248;UD;SANTA MARIA LA LONGA;;F6FP;UD;UD;UD00;030104;;;
I249;VB;SANTA MARIA MAGGIORE;;A5JV;VB;VB;VB00;103062;;;
I251;AN;SANTA MARIA NUOVA;;K1BV;AN;AN;AN00;042043;;;
I253;SA;SANTA MARINA;;Q5FK;SA;SA;SA00;065127;;;
I254;ME;SANTA MARINA SALINA;;U6DT;ME;ME;ME00;083087;;;
I255;RM;SANTA MARINELLA;;M1EV;RM;RM;RM40;058097;;;
I256;FR;SANT'AMBROGIO SUL GARIGLIANO;;M2CQ;FR;FR;FR00;060065;;;
I258;TO;SANT'AMBROGIO DI TORINO;;A1MM;TO;TO;TO60;001255;;;
I259;VR;SANT'AMBROGIO DI VALPOLICELLA;;D6DY;VR;VR;VR00;023077;;;
I260;SA;SANTOMENNA;;Q5FL;SA;SA;SA00;065131;;;
I261;CE;SAN TAMMARO;;Q4EE;CE;CE;CE00;061085;;;
I262;NA;SANT'ANASTASIA;;Q1DJ;NA;NA;NA20;063072;;;
I263;PG;SANT'ANATOLIA DI NARCO;;L1CW;PG;PG;PG10;054045;;;
I264;AV;SANT'ANDREA DI CONZA;;Q2DY;AV;AV;AV00;064089;;;
I265;FR;SANT'ANDREA DEL GARIGLIANO;;M2CS;FR;FR;FR00;060066;;;
I266;CZ;SANT'ANDREA APOSTOLO DELLO IONIO;;T2EV;CZ;CZ;CZ00;079118;;;
I271;SU;SANT'ANDREA FRIUS;;V1FG;CA;CA;CA00;111069;;;
I273;CE;SANT'ANGELO D'ALIFE;;Q4EH;CE;CE;CE00;061086;;;
I274;LO;SANT'ANGELO LODIGIANO;;C1QK;LO;LO;LO00;098050;;;
I275;PD;SANT'ANGELO DI PIOVE DI SACCO;;D3DH;PD;PD;PD00;028082;;;
I276;PV;SANT'ANGELO LOMELLINA;;C7IL;PV;PV;PV10;018144;;;
I277;BN;SANT'ANGELO A CUPOLO;;Q3DD;BN;BN;BN00;062071;;;
I278;SA;SANT'ANGELO A FASANELLA;;Q5FM;SA;SA;SA00;065128;;;
I279;AV;SANT'ANGELO ALL'ESCA;;Q2DZ;AV;AV;AV00;064090;;;
I280;AV;SANT'ANGELO A SCALA;;Q2EA;AV;AV;AV00;064091;;;
I281;AV;SANT'ANGELO DEI LOMBARDI;;Q2EB;AV;AV;AV00;064092;;;
I282;IS;SANT'ANGELO DEL PESCO;;P2BV;IS;IS;IS00;094046;;;
I283;ME;SANT'ANGELO DI BROLO;;U6DU;ME;ME;ME00;083088;;;
I284;RM;SANT'ANGELO ROMANO;;M1EW;RM;RM;RM20;058098;;;
I286;MC;SANT'ANGELO IN PONTANO;;K3BY;MC;MC;MC00;043048;;;
I287;PU;SANT'ANGELO IN VADO;;K4DB;PS;PS;PS10;041057;;;
I288;PZ;SANT'ANGELO LE FRATTE;;S1DK;PZ;PZ;PZ00;076079;;;
I289;CB;SANT'ANGELO LIMOSANO;;P1DN;CB;CB;CB00;070073;;;
I290;AG;SANT'ANGELO MUXARO;;U2BN;AG;AG;AG00;084039;;;
I291;TP;SANTA NINFA;;U9AV;TP;TP;TP00;081019;;;
I292;VR;SANT'ANNA D'ALFAEDO;;D6DZ;VR;VR;VR00;023078;;;
I293;NA;SANT'ANTIMO;;Q1DK;NA;NA;NA20;063073;;;
I294;SU;SANT'ANTIOCO;;V1FH;CA;CA;CA00;111071;;;
I296;TO;SANT'ANTONINO DI SUSA;;A1MN;TO;TO;TO60;001256;;;
I298;OR;VILLA SANT'ANTONIO;;V4BX;OR;OR;OR00;095048;;;
I300;NA;SANT'ANTONIO ABATE;;Q1DL;NA;NA;NA20;063074;;;
I301;AV;SANTA PAOLINA;;Q2EC;AV;AV;AV00;064093;;;
I302;FR;SANT'APOLLINARE;;M2CT;FR;FR;FR00;060067;;;
I304;RN;SANTARCANGELO DI ROMAGNA;;H3BU;RN;RN;RN00;099018;;;
I305;PZ;SANT'ARCANGELO;;S1DL;PZ;PZ;PZ00;076080;;;
I306;CE;SANT'ARPINO;;Q4EI;CE;CE;NA20;061087;;;
I307;SA;SANT'ARSENIO;;Q5FN;SA;SA;SA00;065129;;;
I308;KR;SANTA SEVERINA;;T2EW;KR;KR;KR00;101022;;;
I309;CS;SANTA SOFIA D'EPIRO;;T3FN;CS;CS;CS00;078133;;;
I310;FC;SANTA SOFIA;;H3BV;FO;FO;FO00;040043;;;
I311;ME;SANTA TERESA DI RIVA;;U6DV;ME;ME;ME00;083089;;;
I312;SS;SANTA TERESA GALLURA;;V3CS;SS;SS;SS10;090063;;;
I314;CT;SANTA VENERINA;;U4CB;CT;CT;CT00;087048;;;
I315;FM;SANTA VITTORIA IN MATENANO;;K2DK;AP;AP;AP10;109036;;;
I316;CN;SANTA VITTORIA D'ALBA;;A4JD;CN;CN;CN10;004212;;;
I317;SA;SANT'EGIDIO DEL MONTE ALBINO;;Q5FP;SA;SA;SA00;065130;;;
I318;TE;SANT'EGIDIO ALLA VIBRATA;;N4BQ;TE;TE;TE00;067038;;;
I319;PD;SANT'ELENA;;D3DI;PD;PD;PD10;028083;;;
I320;CB;SANT'ELIA A PIANISI;;P1DP;CB;CB;CB00;070074;;;
I321;FR;SANT'ELIA FIUMERAPIDO;;M2CU;FR;FR;FR00;060068;;;
I322;CZ;VALLEFIORITA;;T2EX;CZ;CZ;CZ00;079151;;;
I324;FM;SANT'ELPIDIO A MARE;;K2DL;AP;AP;AP10;109037;;;
I326;AQ;SANTE MARIE;;N1DW;AQ;AQ;AQ00;066089;;;
I327;TO;SANTENA;;A1MP;TO;TO;TO20;001257;;;
I328;ME;SAN TEODORO;;U6DW;ME;ME;ME00;083090;;;
I329;SS;SAN TEODORO;;V2DD;NU;NU;NU00;090092;;;
I330;BA;SANTERAMO IN COLLE;;R1BV;BA;BA;BA00;072041;;;
I332;PE;SANT'EUFEMIA A MAIELLA;;N3BQ;PE;PE;PE00;068037;;;
I333;RC;SANT'EUFEMIA D'ASPROMONTE;;T1DZ;RC;RC;RC00;080081;;;
I335;CH;SANT'EUSANIO DEL SANGRO;;N2DQ;CH;CH;CH00;069085;;;
I336;AQ;SANT'EUSANIO FORCONESE;;N1DX;AQ;AQ;AQ00;066090;;;
I337;VC;SANTHIA';;A6GH;VC;VC;VC00;002133;;;
I339;LT;SANTI COSMA E DAMIANO;;M3BC;LT;LT;LT00;059026;;;
I341;RC;SANT'ILARIO DELLO IONIO;;T1EA;RC;RC;RC00;080082;;;
I342;RE;SANT'ILARIO D'ENZA;;H8BP;RE;RE;RE00;035039;;;
I344;PU;SANT'IPPOLITO;;K4DC;PS;PS;PS10;041058;;;
I346;GE;SANT'OLCESE;;G1EB;GE;GE;GE00;010055;;;
I347;BL;SAN TOMASO AGORDINO;;D2CA;BL;BL;BL00;025049;;;
I348;TE;SANT'OMERO;;N4BR;TE;TE;TE00;067039;;;
I350;VV;SANT'ONOFRIO;;T2EZ;VV;VV;VV00;102036;;;
I351;FR;SANTOPADRE;;M2CV;FR;FR;FR00;060069;;;
I352;RM;SANT'ORESTE;;M1EX;RM;RM;RM20;058099;;;
I353;VI;SANTORSO;;D7EB;VI;VI;VI20;024095;;;
I354;TN;SANT'ORSOLA TERME;;E1ML;;;;022168;;;
I356;AG;SANTO STEFANO QUISQUINA;;U2BP;AG;AG;AG00;084040;;;
I357;AV;SANTO STEFANO DEL SOLE;;Q2ED;AV;AV;AV00;064095;;;
I359;CS;SANTO STEFANO DI ROGLIANO;;T3FP;CS;CS;CS00;078134;;;
I360;AQ;SANTO STEFANO DI SESSANIO;;N1DY;AQ;AQ;AQ00;066091;;;
I361;MI;SANTO STEFANO TICINO;;C1QM;MI;MI;PV00;015200;;;
I362;LO;SANTO STEFANO LODIGIANO;;C1QN;LO;LO;LO00;098051;;;
I363;SP;SANTO STEFANO DI MAGRA;;G3BB;SP;SP;SP10;011026;;;
I364;FR;VILLA SANTO STEFANO;;M2DR;FR;FR;FR00;060090;;;
I365;IM;SANTO STEFANO AL MARE;;G2DN;IM;IM;IM10;008056;;;
I367;CN;SANTO STEFANO BELBO;;A4JE;CN;CN;CN10;004213;;;
I368;GE;SANTO STEFANO D'AVETO;;G1ED;GE;GE;GE10;010056;;;
I370;ME;SANTO STEFANO DI CAMASTRA;;U6DY;ME;ME;ME00;083091;;;
I371;RC;SANTO STEFANO IN ASPROMONTE;;T1EB;RC;RC;RC00;080083;;;
I372;CN;SANTO STEFANO ROERO;;A4JF;CN;CN;CN10;004214;;;
I373;VE;SAN STINO DI LIVENZA;;D1BU;VE;VE;VE00;027036;;;
I374;OR;SANTU LUSSURGIU;;V4BY;OR;OR;OR00;095049;;;
I375;PD;SANT'URBANO;;D3DJ;PD;PD;PD10;028084;;;
I376;PE;SAN VALENTINO IN ABRUZZO CITERIORE;;N3BR;PE;PE;PE00;068038;;;
I377;SA;SAN VALENTINO TORIO;;Q5FQ;SA;SA;SA00;065132;;;
I381;TR;SAN VENANZO;;L2BK;TR;TR;TR00;055030;;;
I382;TV;SAN VENDEMIANO;;D5DI;TV;TV;TV00;026076;;;
I384;OR;SAN VERO MILIS;;V4BZ;OR;OR;OR00;095050;;;
I388;CS;SAN VINCENZO LA COSTA;;T3FQ;CS;CS;CS00;078135;;;
I389;AQ;SAN VINCENZO VALLE ROVETO;;N1DZ;AQ;AQ;AQ00;066092;;;
I390;LI;SAN VINCENZO;;I4AS;LI;LI;PI10;049018;;;
I391;NA;SAN VITALIANO;;Q1DN;NA;NA;CE00;063075;;;
I392;BL;SAN VITO DI CADORE;;D2CB;BL;BL;BL00;025051;;;
I393;CZ;SAN VITO SULLO IONIO;;T2FA;CZ;CZ;CZ00;079122;;;
I394;CH;SAN VITO CHIETINO;;N2DS;CH;CH;CH00;069086;;;
I396;BR;SAN VITO DEI NORMANNI;;R2AR;BR;BR;BR00;074017;;;
I400;RM;SAN VITO ROMANO;;M1EZ;RM;RM;RM20;058100;;;
I401;VI;SAN VITO DI LEGUZZANO;;D7EC;VI;VI;VI20;024096;;;
I402;SU;SAN VITO;;V1FM;CA;CA;CA00;111066;;;
I403;PN;SAN VITO AL TAGLIAMENTO;;F5BQ;PN;PN;PN00;093041;;;
I404;UD;SAN VITO AL TORRE;;F6FR;UD;UD;;030105;;;
I405;UD;SAN VITO DI FAGAGNA;;F6FS;UD;UD;UD00;030106;;;
I407;TP;SAN VITO LO CAPO;;U9AW;TP;TP;TP00;081020;;;
I408;FR;SAN VITTORE DEL LAZIO;;M2CW;FR;FR;FR00;060070;;;
I409;MI;SAN VITTORE OLONA;;C1QQ;MI;MI;MI20;015201;;;
I410;SA;SANZA;;Q5FR;SA;SA;SA00;065133;;;
I411;TN;SANZENO;;E1MM;;;;022169;;;
I412;BS;SAN ZENO NAVIGLIO;;C3KW;BS;BS;BS00;017173;;;
I414;VR;SAN ZENO DI MONTAGNA;;D6EA;VR;VR;VR00;023079;;;
I415;MI;SAN ZENONE AL LAMBRO;;C1QR;MI;MI;LO00;015202;;;
I416;PV;SAN ZENONE AL PO;;C7IP;PV;PV;PV00;018145;;;
I417;TV;SAN ZENONE DEGLI EZZELINI;;D5DJ;TV;TV;TV00;026077;;;
I418;PD;SAONARA;;D3DK;PD;PD;PD00;028085;;;
I420;ME;SAPONARA;;U6DZ;ME;ME;ME00;083092;;;
I421;UD;SAPPADA;;D2CC;BL;BL;BL00;030189;;SI;SI
I422;SA;SAPRI;;Q5FS;SA;SA;SA00;065134;;;
I423;CS;SARACENA;;T3FR;CS;CS;CS00;078136;;;
I424;RM;SARACINESCO;;M1FA;RM;RM;RM20;058101;;;
I425;VI;SARCEDO;;D7ED;VI;VI;VI20;024097;;;
I426;PZ;SARCONI;;S1DM;PZ;PZ;PZ00;076081;;;
I428;SU;SARDARA;;V1FN;CA;CA;CA00;111072;;;
I429;AL;SARDIGLIANO;;A2IV;AL;AL;AL40;006157;;;
I430;VI;SAREGO;;D7EE;VI;VI;VI00;024098;;;
I431;BZ;SARENTINO;SARNTAL;E2GX;;;;021086;;;
I432;AL;SAREZZANO;;A2IW;AL;AL;AL40;006158;;;
I433;BS;SAREZZO;;C3KX;BS;BS;BS00;017174;;;
I434;PC;SARMATO;;H6BW;PC;PC;PC00;033042;;;
I435;TV;SARMEDE;;D5DK;TV;TV;TV00;026078;;;
I436;MC;SARNANO;;K3BZ;MC;MC;MC00;043049;;;
I437;BG;SARNICO;;C2KS;BG;BG;BG00;016193;;;
I438;SA;SARNO;;Q5FT;SA;SA;SA00;065135;;;
I439;TN;SARNONICO;;E1MQ;;;;022170;;;
I441;VA;SARONNO;;C9HH;VA;VA;MI20;012119;;;
I442;AO;SARRE;;B1DD;AO;AO;AO00;007066;;;
