Codice Nazionale;Sigla Provincia;Denominazione Italiana;Denominazione Estera;Codice Catastale;Ufficio Catasto Terreni;Ufficio Catasto Fabbricati;Codice Conservatoria;Codice Istat;Data Costituzione;Attesa VCT Territorio;Attesa VCT Fabbricati
C675;NA;CICCIANO;;Q1BE;NA;NA;CE00;063027;;;
C676;SA;CICERALE;;Q5BU;SA;SA;SA00;065042;;;
C677;RM;CICILIANO;;M1BJ;RM;RM;RM20;058030;;;
C678;CR;CICOGNOLO;;C5CX;CR;CR;CR00;019030;;;
C679;TO;CICONIO;;A1EC;TO;TO;TO40;001083;;;
C680;VC;CIGLIANO;;A6CC;VC;VC;VC00;002042;;;
C681;CN;CIGLIE';;A4DA;CN;CN;CN20;004069;;;
C684;PV;CIGOGNOLA;;C7DE;PV;PV;PV20;018049;;;
C685;BS;CIGOLE;;C3DD;BS;BS;BS00;017053;;;
C686;PV;CILAVEGNA;;C7DF;PV;PV;PV10;018050;;;
C689;TV;CIMADOLMO;;D5AV;TV;TV;TV00;026017;;;
C691;BS;CIMBERGO;;C3DF;BS;BS;BS10;017054;;;
C695;RC;CIMINA';;T1BF;RC;RC;RC00;080026;;;
C696;PA;CIMINNA;;U1BF;PA;PA;PA00;082030;;;
C697;NA;CIMITILE;;Q1BF;NA;NA;CE00;063028;;;
C698;BS;TAVERNOLE SUL MELLA;;C3DH;BS;BS;BS00;017183;;;
C699;PN;CIMOLAIS;;F5AP;PN;PN;PN00;093014;;;
C700;TN;CIMONE;;E1DV;;;;022058;;;
C701;AT;CINAGLIO;;A3BN;AT;AT;AT00;005039;;;
C702;RM;CINETO ROMANO;;M1BK;RM;RM;RM20;058031;;;
C703;CR;CINGIA DE' BOTTI;;C5CZ;CR;CR;CR00;019031;;;
C704;MC;CINGOLI;;K3AM;MC;MC;MC00;043012;;;
C705;GR;CINIGIANO;;I3AH;GR;GR;GR00;053007;;;
C707;MI;CINISELLO BALSAMO;;C1GH;MI;MI;MI20;015077;;;
C708;PA;CINISI;;U1BG;PA;PA;PA00;082031;;;
C709;SO;CINO;;C8AZ;SO;SO;SO00;014021;;;
C710;RC;CINQUEFRONDI;;T1BG;RC;RC;RC00;080027;;;
C711;TO;CINTANO;;A1ED;TO;TO;TO40;001084;;;
C712;TN;CINTE TESINO;;E1DW;;;;022059;;;
C713;PD;CINTO EUGANEO;;D3BG;PD;PD;PD10;028031;;;
C714;VE;CINTO CAOMAGGIORE;;D1AM;VE;VE;VE00;027009;;;
C715;TO;CINZANO;;A1EE;TO;TO;TO20;001085;;;
C716;CE;CIORLANO;;Q4BM;CE;CE;CE00;061030;;;
C717;CS;SANTA MARIA DEL CEDRO;;T3BT;;CS;CS00;078132;;SI;
C718;IM;CIPRESSA;;G2BH;IM;IM;IM10;008021;;;
C719;BN;CIRCELLO;;Q3BA;BN;BN;BN00;062024;;;
C722;TO;CIRIE';;A1EF;TO;TO;TO20;001086;;;
C723;MT;CIRIGLIANO;;S2AG;MT;MT;MT00;077005;;;
C724;CO;CIRIMIDO;;C4FL;CO;CO;CO00;013068;;;
C725;KR;CIRO';;T2BG;KR;KR;KR00;101007;;;
C726;KR;CIRO' MARINA;;T2BH;KR;KR;KR00;101008;;;
C727;TN;CIS;;E1DX;;;;022060;;;
C728;BG;CISANO BERGAMASCO;;C2DX;BG;BG;BG00;016074;;;
C729;SV;CISANO SUL NEVA;;G4BH;SV;SV;SV10;009025;;;
C730;BG;CISERANO;;C2DY;BG;BG;BG00;016075;;;
C732;VA;CISLAGO;;C9DC;VA;VA;MI20;012050;;;
C733;MI;CISLIANO;;C1GI;MI;MI;PV00;015078;;;
C734;VI;CISMON DEL GRAPPA;;D7BH;VI;VI;VI10;024031;;;
C735;TV;CISON DI VALMARINO;;D5AW;TV;TV;TV00;026018;;;
C738;CN;CISSONE;;A4DB;CN;CN;CN10;004070;;;
C739;AT;CISTERNA D'ASTI;;A3BP;AT;AT;AT00;005040;;;
C740;LT;CISTERNA DI LATINA;;M3AG;LT;LT;LT00;059005;;;
C741;BR;CISTERNINO;;R2AE;BR;BR;BR00;074005;;;
C742;PG;CITERNA;;L1AW;PG;PG;PG00;054011;;;
C743;PD;CITTADELLA;;D3BH;PD;PD;VI10;028032;;;
C744;PG;CITTA' DELLA PIEVE;;L1AX;PG;PG;PG00;054012;;;
C745;PG;CITTA' DI CASTELLO;;L1AY;PG;PG;PG00;054013;;;
C746;RI;CITTADUCALE;;M4AT;RI;RI;RI00;057016;;;
C747;RC;CITTANOVA;;T1BH;RC;RC;RC00;080028;;;
C749;RI;CITTAREALE;;M4AU;RI;RI;RI00;057017;;;
C750;PE;CITTA' SANT'ANGELO;;N3AN;PE;PE;PE00;068012;;;
C751;VA;CITTIGLIO;;C9DD;VA;VA;VA00;012051;;;
C752;LC;CIVATE;;C4FM;LC;LC;LC00;097022;;;
C755;IM;CIVEZZA;;G2BI;IM;IM;IM00;008022;;;
C756;TN;CIVEZZANO;;E1DY;;;;022061;;;
C757;VC;CIVIASCO;;A6CD;VC;VC;VC00;002043;;;
C758;UD;CIVIDALE DEL FRIULI;;F6BJ;UD;UD;UD00;030026;;;
C759;BG;CIVIDATE AL PIANO;;C2DZ;BG;BG;BG00;016076;;;
C760;BS;CIVIDATE CAMUNO;;C3DI;BS;BS;BS10;017055;;;
C763;CS;CIVITA;;T3BU;CS;CS;CS00;078041;;;
